country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
France,4.69,3.7,3.41,4.49,2.31,−0.868,3.71,2.63,2.78,2.96,1.16,0.758,2.17,1.58,1.05,1.48,1.89,1.76,4.04,2.82,2.03,0.694,1.18,−1.63,1.56,1.75,0.627,1.76,3.01,2.71,3.42,1.21,0.206,0.019,1.57,0.468,1.74,1.64,−0.629,−3.66,1.18,1.17,−0.472,−0.173,0.57,1.07,1.25,1.36,1.46,1.46
Greece,7.87,6.81,11.9,3.6,−3.85,5.21,5.11,2.01,5.47,2.56,0.904,−0.694,−0.046,−0.00478,2.42,2.89,1.48,−0.548,4.52,3.5,−0.805,2.03,0.118,−2,1.69,1.98,2.29,3.56,3.32,3.43,4.4,4.4,3.85,4.98,4.48,3.79,5.29,3.3,−1.8,−3.43,−5.22,−7.36,−6.98,−3.33,0.802,3.02,3.81,3.59,3.45,2.85
Croatia,4.01,10.6,2.52,2.47,11.9,−0.879,2.12,6.28,4.6,5.96,4.21,1.17,0.0852,0.295,1.97,0.281,3.58,−1.58,−1.84,−1.7,−7.64,−21.6,−12.5,−8.86,5.21,6.62,6.25,7.61,3.55,0.0401,3.45,4.61,5.04,3.89,3.4,5.93,4.98,5.16,2.13,−6.84,−2.03,0.316,−1.87,−1,−0.618,0.4,1.3,1.94,2.1,2
Hungary,−0.676,4.18,1.86,4.87,2.15,1.56,−0.243,5.79,2.08,−0.0364,0.887,0.699,3.66,−0.878,2.82,−2.28,2.18,1.72,3.18,−1.82,−6.43,−11.8,−2.91,−0.387,3.11,1.66,1.54,4.86,5.18,4.5,5.58,4.36,4.64,4.46,5.06,4.44,4.1,0.235,0.954,−6.56,1.42,1.94,−1.13,1.66,2.19,1.94,1.89,1.91,1.94,1.94
Ireland,1.81,2.49,4.87,3.06,2.56,3.89,−0.188,6.75,5.83,1.41,2.08,2.05,1.21,−0.924,3.61,2.77,−0.442,4.68,5.53,6.31,8.62,1.28,2.56,2.1,5.25,9.08,7.59,10.7,6.55,9.07,8.18,4.89,5.39,3.27,3.16,4.83,2.94,2,−4.49,−6.46,−1.23,0.985,−0.0723,−4.32,1.08,1.85,1.61,1.61,1.61,1.61
Italy,4.56,1.28,2.76,7.05,3.66,−3.34,6.54,1.67,4.04,5.94,3.12,0.993,1.07,1.09,4.87,3.13,2.21,3.94,5.66,4.3,1.87,0.9,1.19,−0.851,2.96,5.38,0.917,3.25,2.98,2.83,3.95,2.28,0.678,−0.459,0.172,−0.493,1.7,1.03,−1.97,−6.16,1.23,−0.1,−2.42,−2.33,0.166,0.685,0.817,0.747,0.578,0.578
Lithuania,6.69,1.65,−0.43,7.38,1.94,−0.649,3.74,1.45,1.63,−1.3,−0.68,0.101,1.62,2.33,0.342,0.00847,3.21,0.442,1.32,0.999,−3.04,−5.89,−21.3,−15.9,−9.57,5.37,4.85,7.12,7.39,−1.63,4.02,6.65,7.17,10.1,7.67,7.93,8.45,10.4,3.45,−14.4,3.15,14.8,5.06,3.8,3.83,3.97,4.11,4.18,4.29,4.28
Luxemborg,0.875,1.66,5.36,7.1,3.37,−7.52,1.89,1.47,3.64,2.62,0.5,−0.722,0.939,2.95,6.2,2.8,9.6,3.49,8.27,9,4.25,7.73,0.227,2.62,2.61,−0.246,1.75,7.38,6.02,6.38,7.71,0.0136,0.764,1.38,3.02,4.06,3.34,4.86,−2.46,−5.81,1,−0.672,−2.45,−0.00023,0.132,−0.0929,0.00778,0.264,0.197,0.258
Latvia,6.69,1.65,−0.43,7.38,4,6,4.27,1.88,1.96,4.78,3.47,3.62,1.75,4.57,5.14,−0.984,4.11,1.72,4.47,5.05,−7.49,−12.3,−31.3,−3.29,3.71,0.355,4.79,10.1,6.46,5.58,7.72,8.64,7.43,7.78,9.27,11.2,12.2,10.5,−2.52,−16.6,1.04,7.81,6.91,4.42,4.08,4.7,4.52,4.43,4.3,4.29
Malta,12.4,3.21,6.27,9.73,9.3,18.2,14.9,9.25,8.04,8.15,6.03,3.27,3,0.706,2.73,4.58,2.84,3.07,7.5,7.27,5.38,5.35,3.72,3.47,4.71,5.04,3.44,3.98,2.95,3.19,5.75,−2.36,1.85,−0.973,−0.464,2.7,1.99,3.36,3.25,−3.41,2.69,1.25,0.719,2.25,1.68,1.62,1.5,1.43,1.46,0.514
Netherlands,4.78,3.53,2.01,4.4,3.64,−0.379,4.04,2.23,2.2,1.43,1.22,−0.873,−1.45,1.74,3.03,2.55,2.87,1.53,3.08,4.13,3.83,1.93,1.3,0.952,2.66,2.91,3.36,4.05,3.64,4.35,3.46,1.46,−0.226,0.143,2.17,1.59,3.23,3.69,1.41,−4.16,1.11,0.52,−1.61,−1.05,0.562,1.39,1.53,1.62,1.73,1.84
Poland,4.4,6.3,6.43,6.58,4.89,3.7,1.51,0.915,2.71,−2.76,−3.4,−6.18,−1.8,3.96,2.78,0.175,2.4,−1.96,1.87,−1.82,−10,−7.34,2.2,3.48,5.07,6.81,5.92,6.73,5.48,4.6,4.21,1.24,1.49,3.92,5.4,3.25,6.27,6.87,5.15,1.57,3.79,3.34,1.92,1.56,3.08,3.3,3.36,3.56,3.63,3.65
Portugal,9.75,7.27,8.26,11.1,−0.216,−7.53,4.56,5.16,2.43,5.36,4.02,0.873,2.04,−0.301,−2.01,2.69,4.03,6.3,7.43,5.11,4.38,4.41,1,−2.44,0.362,3.89,3.28,3.6,4.12,3.22,3.43,1.5,0.332,−1.22,1.09,0.319,1.06,2.08,−0.183,−3,1.84,−0.943,−2.78,−1.45,1.07,1.35,1.61,1.73,1.77,1.77
Romania,1.03,12.9,5.44,2.37,4.61,3.42,4.13,1.27,2.44,2.1,−0.308,−1.18,−0.364,−1.11,3.76,−0.463,1.35,−2.48,−0.61,−3.54,−10.9,−12.8,−8.69,1.63,4.04,7.32,4.2,−5.83,−4.6,−1.04,2.23,5.81,5.11,5.01,8.62,4.22,8.04,6.43,7.52,−6.44,−0.976,2.46,0.915,3.73,2.44,2.69,3.08,3.56,3.66,3.72
Slovakia,1.77,2.97,3,2.67,2.86,2.16,0.836,3.78,0.554,0.231,2.28,−0.871,1.68,1.26,2.11,0.573,1.67,0.311,2.05,0.678,−2.91,−14.9,−7.02,1.45,5.8,5.53,6.72,5.61,3.61,0.29,0.706,3.22,4.12,4.17,5.42,6.03,8.15,10.4,5.66,−5.18,4.14,2.97,1.58,0.819,2.18,2.83,3.38,3.48,3.48,3.48
Slovenia,4.01,10.6,2.52,2.47,11.9,−0.879,2.12,6.28,4.6,5.96,4.21,1.17,0.0852,0.295,1.97,0.281,3.58,−1.58,−1.84,−1.7,−7.64,−9.28,−5.87,2.43,4.94,3.78,3.38,4.69,3.42,5.16,3.94,2.92,3.47,2.63,4.29,4.03,5.54,6.59,3.39,−8.84,0.517,0.442,−2.79,−1.27,0.166,0.786,1.32,1.59,1.69,1.71
Sweden,4.12,0.976,0.104,4.1,7.78,1.18,0.0657,−3.23,0.85,4.17,0.675,−0.573,2.14,1.4,4,1.09,3.29,2.55,2.34,1.81,−0.861,−4.1,−0.0548,−2.35,3.51,4.55,1.35,2.51,3.1,3.74,4.91,0.931,1.88,1.77,3.91,2.74,3.8,2.65,−1.55,−5.83,5.42,3.03,0.157,0.698,1.93,1.76,1.84,1.72,1.72,1.7
